	管線材質	ORDER_SEQ	品名	SIZE1	SIZE2	SCH1	SCH2	SIZE_LAYOUT	厚度	UNIT	IDENT_CODE	中文說明	用料時機	採購量	可領用量	合計	合計2	項目	設計需求	採購需求	缺料狀況	7月2日	7月9日	7月10日	7月11日	8月15日	8月22日	8月24日	重組
0	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-40	 	"8"" S-40"	8.18	M	P24567	鋼管	預製	282.0		49.8	49.8	-	0.0	0	0	0	0	0	0	0	0	0	P24567_-
1	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-40	 	"8"" S-40"	8.18	M	P24567	鋼管	預製					A	5.8	6	0	6	0	0	0	0	0	0	P24567_A
2	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-40	 	"8"" S-40"	8.18	M	P24567	鋼管	預製					B	0.0	0	0	0	0	0	0	0	0	0	P24567_B
3	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-40	 	"8"" S-40"	8.18	M	P24567	鋼管	預製					D	44.0	54	0	54	0	0	0	0	0	0	P24567_D
4	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-40	 	"8"" S-40"	8.18	M	P24567	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P24567_E
5	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-80	 	"8"" S-80"	12.7	M	P24511	鋼管	預製	138.0		33.8	33.8	-	0.0	0	0	0	0	0	0	0	0	0	P24511_-
6	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-80	 	"8"" S-80"	12.7	M	P24511	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P24511_A
7	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-80	 	"8"" S-80"	12.7	M	P24511	鋼管	預製					B	0.0	0	0	0	0	0	0	0	0	0	P24511_B
8	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-80	 	"8"" S-80"	12.7	M	P24511	鋼管	預製					D	33.8	42	0	0	0	0	0	42	0	0	P24511_D
9	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-80	 	"8"" S-80"	12.7	M	P24511	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P24511_E
10	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	6	 	S-40	 	"6"" S-40"	7.11	M	P24568	鋼管	預製	600.0		131.3	131.3	-	0.0	0	0	0	0	0	0	0	0	0	P24568_-
11	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	6	 	S-40	 	"6"" S-40"	7.11	M	P24568	鋼管	預製					A	18.9	24	0	24	0	0	0	0	0	0	P24568_A
12	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	6	 	S-40	 	"6"" S-40"	7.11	M	P24568	鋼管	預製					B	28.3	30	0	30	0	0	0	0	0	0	P24568_B
13	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	6	 	S-40	 	"6"" S-40"	7.11	M	P24568	鋼管	預製					D	84.1	96	0	96	0	0	0	0	0	0	P24568_D
14	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	6	 	S-40	 	"6"" S-40"	7.11	M	P24568	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P24568_E
15	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	4	 	S-40	 	"4"" S-40"	6.02	M	P24570	鋼管	預製	612.0		215.1	215.1	-	0.0	0	0	0	0	0	0	0	0	0	P24570_-
16	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	4	 	S-40	 	"4"" S-40"	6.02	M	P24570	鋼管	預製					A	103.5	114	0	114	0	0	0	0	0	0	P24570_A
17	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	4	 	S-40	 	"4"" S-40"	6.02	M	P24570	鋼管	預製					B	32.8	36	0	36	0	0	0	0	0	0	P24570_B
18	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	4	 	S-40	 	"4"" S-40"	6.02	M	P24570	鋼管	預製					D	78.8	90	0	90	0	0	0	0	0	0	P24570_D
19	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	4	 	S-40	 	"4"" S-40"	6.02	M	P24570	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P24570_E
20	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	3	 	S-40	 	"3"" S-40"	5.49	M	P24571	鋼管	預製	732.0		243.2	243.2	-	0.0	0	0	0	0	0	0	0	0	0	P24571_-
21	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	3	 	S-40	 	"3"" S-40"	5.49	M	P24571	鋼管	預製					A	62.3	66	0	66	0	0	0	0	0	0	P24571_A
22	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	3	 	S-40	 	"3"" S-40"	5.49	M	P24571	鋼管	預製					B	42.2	48	0	48	0	0	0	0	0	0	P24571_B
23	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	3	 	S-40	 	"3"" S-40"	5.49	M	P24571	鋼管	預製					D	138.7	156	0	156	0	0	0	0	0	0	P24571_D
24	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	3	 	S-40	 	"3"" S-40"	5.49	M	P24571	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P24571_E
25	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	2	 	S-80	 	"2"" S-80"	5.54	M	P24517	鋼管	預製	822.0		321.2	321.2	-	0.0	0	0	0	0	0	0	0	0	0	P24517_-
26	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	2	 	S-80	 	"2"" S-80"	5.54	M	P24517	鋼管	預製					A	166.7	186	0	186	0	0	0	0	0	0	P24517_A
27	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	2	 	S-80	 	"2"" S-80"	5.54	M	P24517	鋼管	預製					B	43.3	48	0	48	0	0	0	0	0	0	P24517_B
28	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	2	 	S-80	 	"2"" S-80"	5.54	M	P24517	鋼管	預製					D	111.2	126	-114	12	0	0	0	0	0	0	P24517_D
29	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	2	 	S-80	 	"2"" S-80"	5.54	M	P24517	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P24517_E
30	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	20	 	STD	 	"20"" STD"	9.53	M	P210038	鋼管	預製	24.0		7.2	7.2	-	0.0	0	0	0	0	0	0	0	0	0	P210038_-
31	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	20	 	STD	 	"20"" STD"	9.53	M	P210038	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P210038_A
32	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	20	 	STD	 	"20"" STD"	9.53	M	P210038	鋼管	預製					B	7.2	12	-12	0	0	0	0	0	0	0	P210038_B
33	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	20	 	STD	 	"20"" STD"	9.53	M	P210038	鋼管	預製					D	0.0	0	0	0	0	0	0	0	0	0	P210038_D
34	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	20	 	STD	 	"20"" STD"	9.53	M	P210038	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P210038_E
35	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	16	 	STD	 	"16"" STD"	9.53	M	P105222	鋼管	預製	18.0		7.2	7.2	-	0.0	0	0	0	0	0	0	0	0	0	P105222_-
36	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	16	 	STD	 	"16"" STD"	9.53	M	P105222	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P105222_A
37	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	16	 	STD	 	"16"" STD"	9.53	M	P105222	鋼管	預製					B	7.2	12	-12	0	0	0	0	0	0	0	P105222_B
38	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	16	 	STD	 	"16"" STD"	9.53	M	P105222	鋼管	預製					D	0.0	0	0	0	0	0	0	0	0	0	P105222_D
39	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	16	 	STD	 	"16"" STD"	9.53	M	P105222	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P105222_E
40	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-160	 	"6"" S-160"	18.26	M	P47531	鋼管	預製	78.0		69.5	69.5	-	0.0	0	0	0	0	0	0	0	0	66	P47531_-
41	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-160	 	"6"" S-160"	18.26	M	P47531	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P47531_A
42	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-160	 	"6"" S-160"	18.26	M	P47531	鋼管	預製					B	66.5	78	-12	0	0	0	0	0	0	0	P47531_B
43	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-160	 	"6"" S-160"	18.26	M	P47531	鋼管	預製					D	3.0	6	-6	0	0	0	0	0	0	0	P47531_D
44	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-160	 	"6"" S-160"	18.26	M	P47531	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P47531_E
45	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-40	 	"6"" S-40"	7.11	M	P211749	鋼管	預製	72.0		18.7	18.7	-	0.0	0	0	0	0	0	0	0	0	0	P211749_-
46	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-40	 	"6"" S-40"	7.11	M	P211749	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P211749_A
47	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-40	 	"6"" S-40"	7.11	M	P211749	鋼管	預製					B	12.5	18	-18	0	0	0	0	0	0	0	P211749_B
48	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-40	 	"6"" S-40"	7.11	M	P211749	鋼管	預製					D	6.2	12	-12	0	0	0	0	0	0	0	P211749_D
49	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-40	 	"6"" S-40"	7.11	M	P211749	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P211749_E
