	管線材質	ORDER_SEQ	品名	SIZE1	SIZE2	SCH1	SCH2	SIZE_LAYOUT	厚度	UNIT	IDENT_CODE	用料時機	採購量	可領用量	合計	合計2	項目	重組	設計需求	採購需求	缺料狀況	7月2日	7月9日	7月10日	7月11日	8月15日
0	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-40	 	"8"" S-40"	8.18	M	P24567	預製	282.0		49.8	49.8	-	P24567_-	0.0	0	0	0	0	0	0	0
1	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-40	 	"8"" S-40"	8.18	M	P24567	預製					A	P24567_A	5.8	6	0	6	0	0	0	0
2	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-40	 	"8"" S-40"	8.18	M	P24567	預製					B	P24567_B	0.0	0	0	0	0	0	0	0
3	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-40	 	"8"" S-40"	8.18	M	P24567	預製					D	P24567_D	44.0	54	0	54	0	0	0	0
4	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-40	 	"8"" S-40"	8.18	M	P24567	預製					E	P24567_E	0.0	0	0	0	0	0	0	0
5	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-80	 	"8"" S-80"	12.7	M	P24511	預製	138.0		33.8	33.8	-	P24511_-	0.0	0	0	0	0	0	0	0
6	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-80	 	"8"" S-80"	12.7	M	P24511	預製					A	P24511_A	0.0	0	0	0	0	0	0	0
7	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-80	 	"8"" S-80"	12.7	M	P24511	預製					B	P24511_B	0.0	0	0	0	0	0	0	0
8	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-80	 	"8"" S-80"	12.7	M	P24511	預製					D	P24511_D	33.8	42	0	0	0	0	0	42
9	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-80	 	"8"" S-80"	12.7	M	P24511	預製					E	P24511_E	0.0	0	0	0	0	0	0	0
10	碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	6	 	S-40	 	"6"" S-40"	7.11	M	P24568	預製	600.0		131.3	131.3	-	P24568_-	0.0	0	0	0	0	0	0	0
