管線材質	ORDER_SEQ	0	SIZE1	SIZE2	SCH1	SCH2	SIZE_LAYOUT	厚度	UNIT	IDENT_CODE	用料時機	採購量	可領用量	合計	合計2	-	A	B	D	E	合計.1	-.1	A.1	B.1	D.1	E.1	需求總計	-.2	A.2	B.2	D.2	E.2	缺料總計	先不領	可領料	CHECK	-.3	A.3	B.3	D.3	E.3	領料總計	7/2	7/9	7/11	8/15	Unnamed: 47	7/2.1	7/10	8/15.1	Unnamed: 51	7/2.2	7/10.1	7/11.1	8/15.2	Unnamed: 56	7/2.3	7/10.2	8/15.3	Unnamed: 60	7/2.4	7/10.3	7/11.2	8/15.4
碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-40	 	"8"" S-40"	8.18	M	P24567	預製	282		49.8	49.800000000000004	0	5.8	0	44	0	49.8	0	6	0	54	0	60	0	0	0	0	0	0	0	0	0	0	6	0	54	0	60						6									54							
碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	8	 	S-80	 	"8"" S-80"	12.7	M	P24511	預製	138		33.800000000000004	33.8	0	0	0	33.8	0	33.8	0	0	0	42	0	42	0	0	0	0	0	0				0	0	0	42	0	42																	42					
碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	6	 	S-40	 	"6"" S-40"	7.11	M	P24568	預製	600		131.3	131.3	0	18.9	28.3	84.1	0	131.3	0	24	30	96	0	150	0	0	0	0	0	0		228	X	0	24	30	96	0	150						24				30					96							
碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	4	 	S-40	 	"4"" S-40"	6.02	M	P24570	預製	612		215.10000000000002	215.10000000000002	0	103.49999999999999	32.8	78.8	0	215.09999999999997	0	114	36	90	0	240	0	0	0	0	0	0		168	X	0	114	36	90	0	240						114				36					90							
碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	3	 	S-40	 	"3"" S-40"	5.49	M	P24571	預製	732		243.20000000000005	243.20000000000002	0	62.3	42.2	138.70000000000002	0	243.20000000000002	0	72	48	156	0	276	0	0	0	-6	0	-6		132	X	0	72	48	150	0	270						72				48					150							
碳鋼	102	PIPE SMLS BE CS A106-B  ASME   	2	 	S-80	 	"2"" S-80"	5.54	M	P24517	預製	822		321.2000000000001	321.2	0	166.7	43.3	111.19999999999999	0	321.2	0	186	48	126	0	360	0	0	0	-114	0	-114				0	186	48	12	0	246						186				48					12							
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	20	 	STD	 	"20"" STD"	9.53	M	P210038	預製	24		7.2	7.2	0	0	7.2	0	0	7.2	0	0	12	0	0	12	0	0	-12	0	0	-12				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	16	 	STD	 	"16"" STD"	9.53	M	P105222	預製	18		7.2	7.2	0	0	7.2	0	0	7.2	0	0	12	0	0	12	0	0	-12	0	0	-12				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-160	 	"6"" S-160"	18.26	M	P47531	預製	78		69.5	69.5	0	0	66.5	3	0	69.5	0	0	78	6	0	84	0	0	-78	-6	0	-84		18	V	0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-40	 	"6"" S-40"	7.11	M	P211749	預製	72		18.7	18.7	0	0	12.5	6.2	0	18.7	0	0	18	12	0	30	0	0	-18	-12	0	-30				0	0	0	0	0	0																						
