管線材質,ORDER_SEQ,0,SIZE1,SIZE2,SCH1,SCH2,SIZE_LAYOUT,厚度,UNIT,IDENT_CODE,用料時機,採購量,可領用量,合計,合計2,項目,設計需求,採購需求,缺料狀況,7月2日,7月9日,7月10日,7月11日,8月15日
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,8, ,S-40, ,"8"" S-40",8.18,M,P24567,預製,282,,49.8,49.8,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,5.8,6,0,6,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,44,54,0,54,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,8, ,S-80, ,"8"" S-80",12.7,M,P24511,預製,138,,33.8,33.8,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,33.8,42,0,0,0,0,0,42
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,6, ,S-40, ,"6"" S-40",7.11,M,P24568,預製,600,,131.3,131.3,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,18.9,24,0,24,0,0,0,0
,,,,,,,,,,,,,,,,B,28.3,30,0,30,0,0,0,0
,,,,,,,,,,,,,,,,D,84.1,96,0,96,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,4, ,S-40, ,"4"" S-40",6.02,M,P24570,預製,612,,215.1,215.1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,103.5,114,0,114,0,0,0,0
,,,,,,,,,,,,,,,,B,32.8,36,0,36,0,0,0,0
,,,,,,,,,,,,,,,,D,78.8,90,0,90,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,3, ,S-40, ,"3"" S-40",5.49,M,P24571,預製,732,,243.2,243.2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,62.3,72,0,72,0,0,0,0
,,,,,,,,,,,,,,,,B,42.2,48,0,48,0,0,0,0
,,,,,,,,,,,,,,,,D,138.7,156,-6,150,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,2, ,S-80, ,"2"" S-80",5.54,M,P24517,預製,822,,321.2,321.2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,166.7,186,0,186,0,0,0,0
,,,,,,,,,,,,,,,,B,43.3,48,0,48,0,0,0,0
,,,,,,,,,,,,,,,,D,111.2,126,-114,12,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,20, ,STD, ,"20"" STD",9.53,M,P210038,預製,24,,7.2,7.2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,7.2,12,-12,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,16, ,STD, ,"16"" STD",9.53,M,P105222,預製,18,,7.2,7.2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,7.2,12,-12,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,6, ,S-160, ,"6"" S-160",18.26,M,P47531,預製,78,,69.5,69.5,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,66.5,78,-78,0,0,0,0,0
,,,,,,,,,,,,,,,,D,3,6,-6,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,6, ,S-40, ,"6"" S-40",7.11,M,P211749,預製,72,,18.7,18.7,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,12.5,18,-18,0,0,0,0,0
,,,,,,,,,,,,,,,,D,6.2,12,-12,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-120, ,"4"" S-120",11.13,M,P100758,預製,18,,13.3,13.3,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,13.3,18,-18,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-160, ,"4"" S-160",13.49,M,P46905,預製,6,,0.2,0.2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0.2,6,-6,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-40, ,"4"" S-40",6.02,M,P211707,預製,210,,35.6,35.6,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,35.6,42,-42,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-160, ,"3"" S-160",11.13,M,P46863,預製,6,,0.8,0.8,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0.8,6,-6,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-40, ,"3"" S-40",5.49,M,P211677,預製,114,,32.6,32.6,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,32.6,36,-36,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,M,P98370,預製,174,,80.2,80.2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,80.2,90,-90,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-80, ,"2"" S-80",5.54,M,P75659,預製,54,,17.3,17.3,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,17.3,24,-12,12,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1.5, ,S-160, ,"1-1/2"" S-160",7.14,M,P64172,預製,6,,0.1,0.1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0.1,6,-6,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,M,P64128,預製,252,,229.2,228.6,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,228.6,252,-252,0,0,0,0,0
