管線材質,ORDER_SEQ,Short_desc,SIZE1,SIZE2,SCH1,SCH2,SIZE_LAYOUT,厚度,UNIT,IDENT_CODE,中文說明,用料時機,採購量,可領用量,合計,合計2,項目,設計需求,採購需求,缺料狀況,7月2日,7月9日,7月10日,7月11日,8月15日,8月22日,8月24日,重組
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,8, ,S-40, ,"8"" S-40",8.18,M,P24567,鋼管,預製,282,,49.8,49.8,-,0,0,0,0,0,0,0,0,0,0,P24567_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,8, ,S-40, ,"8"" S-40",8.18,M,P24567,鋼管,預製,,,,,A,5.8,6,0,6,0,0,0,0,0,0,P24567_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,8, ,S-40, ,"8"" S-40",8.18,M,P24567,鋼管,預製,,,,,B,0,0,0,0,0,0,0,0,0,0,P24567_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,8, ,S-40, ,"8"" S-40",8.18,M,P24567,鋼管,預製,,,,,D,44,54,0,54,0,0,0,0,0,0,P24567_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,8, ,S-40, ,"8"" S-40",8.18,M,P24567,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P24567_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,8, ,S-80, ,"8"" S-80",12.7,M,P24511,鋼管,預製,138,,33.8,33.8,-,0,0,0,0,0,0,0,0,0,0,P24511_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,8, ,S-80, ,"8"" S-80",12.7,M,P24511,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P24511_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,8, ,S-80, ,"8"" S-80",12.7,M,P24511,鋼管,預製,,,,,B,0,0,0,0,0,0,0,0,0,0,P24511_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,8, ,S-80, ,"8"" S-80",12.7,M,P24511,鋼管,預製,,,,,D,33.8,42,0,0,0,0,0,42,0,0,P24511_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,8, ,S-80, ,"8"" S-80",12.7,M,P24511,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P24511_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,6, ,S-40, ,"6"" S-40",7.11,M,P24568,鋼管,預製,600,,131.3,131.3,-,0,0,0,0,0,0,0,0,0,0,P24568_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,6, ,S-40, ,"6"" S-40",7.11,M,P24568,鋼管,預製,,,,,A,18.9,24,0,24,0,0,0,0,0,0,P24568_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,6, ,S-40, ,"6"" S-40",7.11,M,P24568,鋼管,預製,,,,,B,28.3,30,0,30,0,0,0,0,0,0,P24568_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,6, ,S-40, ,"6"" S-40",7.11,M,P24568,鋼管,預製,,,,,D,84.1,96,0,96,0,0,0,0,0,0,P24568_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,6, ,S-40, ,"6"" S-40",7.11,M,P24568,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P24568_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,4, ,S-40, ,"4"" S-40",6.02,M,P24570,鋼管,預製,612,,215.1,215.1,-,0,0,0,0,0,0,0,0,0,0,P24570_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,4, ,S-40, ,"4"" S-40",6.02,M,P24570,鋼管,預製,,,,,A,103.5,114,0,114,0,0,0,0,0,0,P24570_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,4, ,S-40, ,"4"" S-40",6.02,M,P24570,鋼管,預製,,,,,B,32.8,36,0,36,0,0,0,0,0,0,P24570_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,4, ,S-40, ,"4"" S-40",6.02,M,P24570,鋼管,預製,,,,,D,78.8,90,0,90,0,0,0,0,0,0,P24570_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,4, ,S-40, ,"4"" S-40",6.02,M,P24570,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P24570_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,3, ,S-40, ,"3"" S-40",5.49,M,P24571,鋼管,預製,732,,243.2,243.2,-,0,0,0,0,0,0,0,0,0,0,P24571_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,3, ,S-40, ,"3"" S-40",5.49,M,P24571,鋼管,預製,,,,,A,62.3,66,0,66,0,0,0,0,0,0,P24571_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,3, ,S-40, ,"3"" S-40",5.49,M,P24571,鋼管,預製,,,,,B,42.2,48,0,48,0,0,0,0,0,0,P24571_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,3, ,S-40, ,"3"" S-40",5.49,M,P24571,鋼管,預製,,,,,D,138.7,156,0,156,0,0,0,0,0,0,P24571_D
